id,title,artist,album,duration_sec,rank,explicit,preview_url
3121749,Call Me,Blondie,Call Me,210,522031,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/2/5/0/d2560d93019839f09b353158a531ff19.mp3?hdnea=exp=1773080230~acl=/api/1/1/d/2/5/0/d2560d93019839f09b353158a531ff19.mp3*~data=user_id=0,application_id=42~hmac=bb108f0d40476a5faf9bba037b65915e629250949080670d256553f585e2bb23"
341024791,Everywhere (2017 Remaster),Fleetwood Mac,Tango In the Night (Deluxe Edition),226,252339,False,"https://cdnt-preview.dzcdn.net/api/1/1/9/7/7/0/977e35eb2d4bc0d65aae718c95b86997.mp3?hdnea=exp=1773080230~acl=/api/1/1/9/7/7/0/977e35eb2d4bc0d65aae718c95b86997.mp3*~data=user_id=0,application_id=42~hmac=8887db9b055906f53f9698e7f896004449f4bf3ce7e1ced8b8c711e263e2c47f"
116348454,Something (Remastered 2009),The Beatles,Abbey Road (Remastered),181,748440,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/f/d/0/8fdd63845967dc8758b23b224842824f.mp3?hdnea=exp=1773080230~acl=/api/1/1/8/f/d/0/8fdd63845967dc8758b23b224842824f.mp3*~data=user_id=0,application_id=42~hmac=17629361a0da776b9eceea479fc20a056ced5b3ce73ca9a9f4143473e5dbeec4"
74933111,Box of Rain (2013 Remaster),Grateful Dead,American Beauty (2013 Remaster),318,405456,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/3/a/0/e3a339ad59783629bcea434e75b3e62a.mp3?hdnea=exp=1773080230~acl=/api/1/1/e/3/a/0/e3a339ad59783629bcea434e75b3e62a.mp3*~data=user_id=0,application_id=42~hmac=f267c2e41468a519623942f98d42028769590bdcaf034bab54eeca6e635de9e1"
1041329372,Mr. Brightside,The Killers,Hot Fuss,223,440241,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/b/c/0/ebc724accbd928d37dfb45a519bef9d0.mp3?hdnea=exp=1773080230~acl=/api/1/1/e/b/c/0/ebc724accbd928d37dfb45a519bef9d0.mp3*~data=user_id=0,application_id=42~hmac=0b08b7d961a500706e87fdd5c8db37c222252cc93eee90a5759c9e8dea4dbfc0"
116914026,Money,Pink Floyd,The Dark Side of the Moon,388,833469,True,"https://cdnt-preview.dzcdn.net/api/1/1/c/4/c/0/c4ce4a32ff5227a9452f9333233588d9.mp3?hdnea=exp=1773080230~acl=/api/1/1/c/4/c/0/c4ce4a32ff5227a9452f9333233588d9.mp3*~data=user_id=0,application_id=42~hmac=b0c601858ef4ed93d064a925b12b8eea324cb35d55166b2cc8394c67c7e5e708"
366916761,Semi-Charmed Life,Third Eye Blind,Third Eye Blind (20th Anniversary Edition),268,481890,False,"https://cdnt-preview.dzcdn.net/api/1/1/a/8/6/0/a8658a64532afd53fb7f6f761d8f81ab.mp3?hdnea=exp=1773080230~acl=/api/1/1/a/8/6/0/a8658a64532afd53fb7f6f761d8f81ab.mp3*~data=user_id=0,application_id=42~hmac=4dba109b9a245e35126630df2de25d3a1393a2655a8d1774de524acb5deb577e"
3122253,Dreaming,Blondie,Best Of Blondie,186,224479,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/0/c/0/30c5366a5f175b52633d05826461d381.mp3?hdnea=exp=1773080230~acl=/api/1/1/3/0/c/0/30c5366a5f175b52633d05826461d381.mp3*~data=user_id=0,application_id=42~hmac=33ba5e1239a6a4bab1808f32c95073510d6d2999b92f011e9d1183f0e74990c9"
2794330,"Jesus, Etc.",Wilco,Yankee Hotel Foxtrot,231,438747,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/5/e/0/55ee598246972b2c87dd3834b55dd496.mp3?hdnea=exp=1773080230~acl=/api/1/1/5/5/e/0/55ee598246972b2c87dd3834b55dd496.mp3*~data=user_id=0,application_id=42~hmac=c2ef04248d8adbcbb0c9d4d107a30e9b1cfc4b192805b99a283641314e319d01"
1080500,Two Tickets to Paradise (2022 Remaster),Eddie Money,Eddie Money (2022 Remaster),238,360349,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/9/e/0/89e141f3cd2253d83cab213206befa0d.mp3?hdnea=exp=1773080230~acl=/api/1/1/8/9/e/0/89e141f3cd2253d83cab213206befa0d.mp3*~data=user_id=0,application_id=42~hmac=af2b1829ed24d09203984f5fa7e8082a754e59bc24c252cf80cd45a3d14c6649"
