id,title,artist,album,duration_sec,rank,explicit,preview_url
3499654751,Pela Última Vez (Ao Vivo),Grupo Menos É Mais,Pela Última Vez (Ao Vivo),162,989814,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/b/3/0/db31e4e9a82bb07d42c08da1c3be1c26.mp3?hdnea=exp=1773080285~acl=/api/1/1/d/b/3/0/db31e4e9a82bb07d42c08da1c3be1c26.mp3*~data=user_id=0,application_id=42~hmac=4d55337ae56f20bda1f0f4fecd9001d47a79c3c1742f55eb639f7d9b5746ce4b"
3595159272,Fendi 2,Rakhim,Fendi 2,90,711086,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/e/d/0/eed8848b1fe10d49e8a62457c580773b.mp3?hdnea=exp=1773080285~acl=/api/1/1/e/e/d/0/eed8848b1fe10d49e8a62457c580773b.mp3*~data=user_id=0,application_id=42~hmac=ce0ac9fa565ada30be3fae3d707c0aa7b4060b186f3a080963d1f85d75d4e331"
1776731677,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) (Remix)",PEDRO SAMPAIO,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) (Remix)",212,780909,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/d/2/0/fd22ae4c3f93f4bc9d549b007b4f3f3a.mp3?hdnea=exp=1773080285~acl=/api/1/1/f/d/2/0/fd22ae4c3f93f4bc9d549b007b4f3f3a.mp3*~data=user_id=0,application_id=42~hmac=254159d8eeaab774a095785814bddbdd05f23a4c6cf969a32abc479191de77d6"
3217178811,Tubarões,Diego & Victor Hugo,Tubarões Ao Vivo,162,990513,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/a/7/0/da79cb906e97b102db146aad801e0f59.mp3?hdnea=exp=1773080285~acl=/api/1/1/d/a/7/0/da79cb906e97b102db146aad801e0f59.mp3*~data=user_id=0,application_id=42~hmac=9e6cabf4bb2453683c439ab9c81a20d555239e4db5abbe299e3bd68b3b1eba23"
3546914011,Eu Te Seguro,Panda,Eu Te Seguro Ao Vivo,148,969991,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/f/1/0/7f1b30fa01ea9e6795337fdedfbfeb50.mp3?hdnea=exp=1773080285~acl=/api/1/1/7/f/1/0/7f1b30fa01ea9e6795337fdedfbfeb50.mp3*~data=user_id=0,application_id=42~hmac=12ed104f63a97aee2239ec84edb25a917a96f0bc6d9b4ded21115315aba1c5f1"
3189321571,Ilusão De Ótica (Ao Vivo),Matheus & Kauan,Envolvente (Ao Vivo / Vol.1),180,935460,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/2/1/0/2212c40b44a57628a4f6c6156ca9f2d7.mp3?hdnea=exp=1773080285~acl=/api/1/1/2/2/1/0/2212c40b44a57628a4f6c6156ca9f2d7.mp3*~data=user_id=0,application_id=42~hmac=26732758a36bf0316c30788974ad56755a2ae7429c0a94aee953e105c08be176"
10985177,São Jorge,Juçara Marçal e Kiko Dinucci,Padê,185,311837,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/1/c/0/c1c90c8e4bc92109c8e37f8ff246c0a9.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/1/c/0/c1c90c8e4bc92109c8e37f8ff246c0a9.mp3*~data=user_id=0,application_id=42~hmac=32b360cb67444526b1d4e1ad892680e99d5dbafc1fbe1a57580cc7f263d3e13c"
2935875381,Xonei,Jorge & Mateus,Xonei,154,924393,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/7/f/0/c7f2e8a08537dcd67d9d8432c1c6dc8a.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/7/f/0/c7f2e8a08537dcd67d9d8432c1c6dc8a.mp3*~data=user_id=0,application_id=42~hmac=e1acaeeca3fa1575fd215a8374928fdbf6444777957f898c111becf0c2e92534"
2916157971,Apaga Apaga Apaga (Ao Vivo),Danilo e Davi,Toma Essa Verdade (Ao Vivo),178,946262,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/d/3/0/cd34eaa0423151224f7cdd15b3a24c10.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/d/3/0/cd34eaa0423151224f7cdd15b3a24c10.mp3*~data=user_id=0,application_id=42~hmac=7e0f8fe593cdff6cb79d82fff774c729ffca3d7c81eaf4ac6e7e8ab2d937d4a2"
2927577241,Baianá,Barbatuques,O Seguinte é Esse,279,702578,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/b/6/0/0b6992b090df5fa71549f20afc41fa9f.mp3?hdnea=exp=1773080285~acl=/api/1/1/0/b/6/0/0b6992b090df5fa71549f20afc41fa9f.mp3*~data=user_id=0,application_id=42~hmac=37493fef4a3d79cccfa77559e70eb9a61e3843ea9a39263f45ef4e7b3dfb92c2"
